iter	Passed	Remaining
708	2659	1091
709	2662	1087
710	2665	1083
711	2668	1079
712	2671	1075
713	2674	1071
714	2676	1066
715	2679	1062
716	2683	1059
717	2687	1055
718	2691	1051
719	2693	1047
720	2696	1043
721	2700	1039
722	2703	1035
723	2705	1031
724	2708	1027
725	2711	1023
726	2715	1019
727	2718	1015
728	2720	1011
729	2723	1007
730	2726	1003
731	2730	999
732	2733	995
733	2736	991
734	2738	987
735	2741	983
736	2744	979
737	2748	975
738	2751	971
739	2754	967
740	2757	963
741	2760	959
742	2763	955
743	2766	951
744	2769	947
745	2772	943
746	2776	940
747	2779	936
748	2782	932
749	2785	928
750	2789	924
751	2794	921
752	2799	918
753	2802	914
754	2805	910
755	2808	906
756	2811	902
757	2814	898
758	2817	894
759	2820	890
760	2823	886
761	2827	883
762	2829	878
763	2832	875
764	2835	871
765	2838	867
766	2842	863
767	2845	859
768	2848	855
769	2851	851
770	2854	847
771	2858	844
772	2862	840
773	2864	836
774	2867	832
775	2870	828
776	2874	824
777	2877	821
778	2880	817
779	2882	813
780	2885	809
781	2890	805
782	2893	801
783	2895	797
784	2898	793
785	2901	789
786	2904	786
787	2907	782
788	2910	778
789	2913	774
790	2916	770
791	2919	766
792	2922	762
793	2925	758
794	2928	755
795	2930	751
796	2933	747
797	2937	743
798	2940	739
799	2943	735
800	2946	732
801	2949	728
802	2953	724
803	2956	720
804	2959	716
805	2962	713
806	2965	709
807	2969	705
808	2972	701
809	2975	697
810	2977	693
811	2981	690
812	2985	686
813	2988	682
814	2991	679
815	2995	675
816	3000	671
817	3004	668
818	3008	664
819	3013	661
820	3017	657
821	3021	654
822	3024	650
823	3026	646
824	3028	642
825	3033	638
826	3036	635
827	3039	631
828	3041	627
829	3044	623
830	3047	619
831	3050	616
832	3054	612
833	3058	608
834	3063	605
835	3066	601
836	3070	597
837	3073	594
838	3076	590
839	3079	586
840	3082	582
841	3086	579
842	3089	575
843	3091	571
844	3094	567
845	3097	563
846	3101	560
847	3104	556
848	3107	552
849	3110	548
850	3112	544
851	3115	541
852	3120	537
853	3123	533
854	3126	530
855	3129	526
856	3133	522
857	3137	519
858	3139	515
859	3142	511
860	3145	507
861	3150	504
862	3153	500
863	3157	497
864	3161	493
865	3166	490
866	3170	486
867	3173	482
868	3180	479
869	3185	476
870	3188	472
871	3193	468
872	3198	465
873	3202	461
874	3205	457
875	3208	454
876	3211	450
877	3215	446
878	3218	443
879	3221	439
880	3224	435
881	3226	431
882	3230	428
883	3233	424
884	3236	420
885	3239	416
886	3242	413
887	3246	409
888	3249	405
889	3252	402
890	3255	398
891	3258	394
892	3262	390
893	3265	387
894	3267	383
895	3270	379
896	3273	375
897	3277	372
898	3280	368
899	3283	364
900	3286	361
901	3288	357
902	3292	353
903	3295	349
904	3298	346
905	3301	342
906	3303	338
907	3307	335
908	3310	331
909	3313	327
910	3316	323
911	3319	320
912	3321	316
913	3325	312
914	3328	309
915	3331	305
916	3333	301
917	3336	298
918	3340	294
919	3343	290
920	3346	287
921	3348	283
922	3351	279
923	3355	275
924	3358	272
925	3362	268
926	3365	265
927	3368	261
928	3371	257
929	3374	254
930	3377	250
931	3380	246
932	3383	242
933	3388	239
934	3390	235
935	3393	232
936	3396	228
937	3400	224
938	3404	221
939	3408	217
940	3411	213
941	3414	210
942	3417	206
943	3421	202
944	3424	199
945	3427	195
946	3430	192
947	3433	188
948	3437	184
949	3440	181
950	3443	177
951	3447	173
952	3450	170
953	3453	166
954	3457	162
955	3460	159
956	3462	155
957	3466	151
958	3469	148
959	3472	144
960	3474	141
961	3477	137
962	3480	133
963	3484	130
964	3487	126
965	3489	122
966	3492	119
967	3495	115
968	3499	111
969	3502	108
970	3504	104
971	3507	101
972	3511	97
973	3515	93
974	3519	90
975	3522	86
976	3525	82
977	3527	79
978	3532	75
979	3535	72
980	3538	68
981	3541	64
982	3544	61
983	3549	57
984	3553	54
985	3556	50
986	3559	46
987	3565	43
988	3569	39
989	3572	36
990	3576	32
991	3584	28
992	3588	25
993	3596	21
994	3600	18
995	3603	14
996	3608	10
997	3614	7
998	3619	3
999	3622	0
